timestamp,api_type,complexity,repository,execution,time_ms,size_bytes,status
2025-11-22T13:10:37.980710,GraphQL,medium,python/cpython,16,514.8,1764,200
2025-11-22T13:10:38.497199,GraphQL,simple,nodejs/node,82,414.83,249,200
2025-11-22T13:10:38.948123,GraphQL,medium,vuejs/vue,10,349.42,1808,200
2025-11-22T13:10:40.599035,REST,complex,django/django,48,1547.69,30604,200
2025-11-22T13:10:41.397362,GraphQL,complex,python/cpython,9,697.5,1167,200
2025-11-22T13:10:42.292579,GraphQL,medium,kubernetes/kubernetes,72,794.05,1814,200
2025-11-22T13:10:43.128002,REST,medium,torvalds/linux,88,733.37,42339,200
2025-11-22T13:10:44.094683,REST,medium,facebook/react,5,864.42,44680,200
2025-11-22T13:10:45.089138,REST,medium,python/cpython,54,892.21,47447,200
2025-11-22T13:10:45.920446,REST,medium,vuejs/vue,39,730.37,40393,200
2025-11-22T13:10:46.344279,REST,simple,torvalds/linux,41,318.91,5016,200
2025-11-22T13:10:46.898441,GraphQL,medium,nodejs/node,56,453.33,1714,200
2025-11-22T13:10:47.329680,REST,simple,torvalds/linux,23,329.95,5016,200
2025-11-22T13:10:48.359051,REST,medium,angular/angular,90,927.2,66043,200
2025-11-22T13:10:49.216297,GraphQL,complex,nodejs/node,81,755.45,1208,200
2025-11-22T13:10:50.952311,REST,complex,tensorflow/tensorflow,43,1634.55,32060,200
2025-11-22T13:10:52.418206,REST,complex,torvalds/linux,13,1363.59,24019,200
2025-11-22T13:10:53.818663,REST,complex,torvalds/linux,55,1297.1,24019,200
2025-11-22T13:10:55.835790,GraphQL,complex,django/django,16,1916.48,548,200
2025-11-22T13:10:56.400726,GraphQL,simple,nodejs/node,33,463.77,249,200
2025-11-22T13:10:58.381896,REST,complex,vuejs/vue,13,1879.45,26712,200
2025-11-22T13:11:00.017533,REST,complex,torvalds/linux,19,1532.52,24019,200
2025-11-22T13:11:01.765457,REST,complex,tensorflow/tensorflow,53,1645.17,32060,200
2025-11-22T13:11:02.209824,REST,simple,torvalds/linux,68,343.3,5016,200
2025-11-22T13:11:02.789259,GraphQL,simple,microsoft/vscode,35,478.32,228,200
2025-11-22T13:11:03.597113,GraphQL,complex,nodejs/node,90,706.72,1208,200
2025-11-22T13:11:04.065604,REST,simple,torvalds/linux,91,367.78,5016,200
2025-11-22T13:11:05.802299,REST,complex,angular/angular,29,1633.48,42753,200
2025-11-22T13:11:07.257227,REST,medium,microsoft/vscode,85,1353.85,61854,200
2025-11-22T13:11:07.972535,GraphQL,simple,nodejs/node,48,613.52,249,200
2025-11-22T13:11:08.768850,GraphQL,complex,angular/angular,47,695.6,1142,200
2025-11-22T13:11:09.179478,GraphQL,simple,django/django,18,309.94,257,200
2025-11-22T13:11:09.761266,REST,simple,tensorflow/tensorflow,52,480.25,6689,200
2025-11-22T13:11:10.990962,REST,medium,kubernetes/kubernetes,33,1128.19,118298,200
2025-11-22T13:11:11.578253,GraphQL,medium,kubernetes/kubernetes,13,486.48,1814,200
2025-11-22T13:11:14.769518,REST,complex,kubernetes/kubernetes,61,3089.34,59096,200
2025-11-22T13:11:15.304801,GraphQL,medium,nodejs/node,43,433.98,1714,200
2025-11-22T13:11:16.907535,REST,complex,vuejs/vue,55,1501.55,26712,200
2025-11-22T13:11:17.335870,GraphQL,simple,torvalds/linux,63,327.32,224,200
2025-11-22T13:11:18.302228,REST,medium,facebook/react,46,864.2,44680,200
2025-11-22T13:11:19.336377,REST,medium,nodejs/node,43,932.28,53169,200
2025-11-22T13:11:19.809117,GraphQL,medium,torvalds/linux,68,371.12,145,200
2025-11-22T13:11:21.732040,REST,complex,python/cpython,75,1820.47,29477,200
2025-11-22T13:11:22.606967,GraphQL,complex,facebook/react,29,773.53,1192,200
2025-11-22T13:11:23.102341,REST,simple,angular/angular,89,394.51,6337,200
2025-11-22T13:11:23.610197,GraphQL,medium,nodejs/node,86,406.61,1714,200
2025-11-22T13:11:24.473339,GraphQL,complex,python/cpython,18,761.59,1167,200
2025-11-22T13:11:25.654574,REST,medium,tensorflow/tensorflow,99,1080.02,42302,200
2025-11-22T13:11:26.649230,REST,medium,django/django,38,892.53,40997,200
2025-11-22T13:11:27.259627,GraphQL,simple,facebook/react,65,509.38,256,200
2025-11-22T13:11:28.158138,GraphQL,complex,angular/angular,51,797.5,1142,200
2025-11-22T13:11:29.013237,REST,medium,django/django,90,753.0,40997,200
2025-11-22T13:11:29.560921,REST,simple,python/cpython,2,445.69,6018,200
2025-11-22T13:11:31.273064,REST,complex,nodejs/node,29,1609.68,32818,200
2025-11-22T13:11:32.298052,REST,medium,facebook/react,6,923.52,44680,200
2025-11-22T13:11:32.822531,REST,simple,kubernetes/kubernetes,51,422.8,6538,200
2025-11-22T13:11:33.362463,REST,simple,django/django,8,438.95,6147,200
2025-11-22T13:11:34.227001,REST,medium,torvalds/linux,18,763.49,42339,200
2025-11-22T13:11:34.793103,REST,simple,kubernetes/kubernetes,56,465.44,6538,200
2025-11-22T13:11:36.247814,REST,medium,microsoft/vscode,65,1354.12,61854,200
2025-11-22T13:11:36.863706,GraphQL,simple,microsoft/vscode,37,515.17,228,200
2025-11-22T13:11:38.714984,REST,complex,tensorflow/tensorflow,88,1750.29,32060,200
2025-11-22T13:11:39.549305,GraphQL,complex,python/cpython,52,732.77,1167,200
2025-11-22T13:11:40.064584,REST,simple,django/django,16,413.36,6147,200
2025-11-22T13:11:40.559501,GraphQL,simple,kubernetes/kubernetes,22,393.14,258,200
2025-11-22T13:11:41.039223,GraphQL,simple,nodejs/node,27,378.06,249,200
2025-11-22T13:11:41.520129,GraphQL,simple,facebook/react,30,379.08,256,200
2025-11-22T13:11:42.350968,GraphQL,complex,python/cpython,6,729.9,1167,200
2025-11-22T13:11:44.185511,REST,complex,angular/angular,20,1732.59,42753,200
2025-11-22T13:11:44.635566,REST,simple,torvalds/linux,59,348.78,5016,200
2025-11-22T13:11:46.011524,REST,complex,torvalds/linux,83,1274.64,24019,200
2025-11-22T13:11:46.447264,GraphQL,simple,vuejs/vue,5,334.87,281,200
2025-11-22T13:11:47.299739,REST,medium,torvalds/linux,22,751.19,42339,200
2025-11-22T13:11:47.952025,GraphQL,complex,facebook/react,11,551.02,1192,200
2025-11-22T13:11:48.795738,REST,medium,torvalds/linux,20,740.06,42339,200
2025-11-22T13:11:49.302905,REST,simple,tensorflow/tensorflow,45,406.02,6689,200
2025-11-22T13:11:51.019390,REST,complex,angular/angular,52,1612.87,42753,200
2025-11-22T13:11:52.027798,REST,medium,nodejs/node,81,907.25,53169,200
2025-11-22T13:11:53.509006,REST,complex,vuejs/vue,19,1380.18,26712,200
2025-11-22T13:11:53.998113,REST,simple,tensorflow/tensorflow,1,388.46,6689,200
2025-11-22T13:11:56.727850,REST,complex,microsoft/vscode,60,2626.27,39318,200
2025-11-22T13:11:57.582622,REST,medium,vuejs/vue,68,753.47,40393,200
2025-11-22T13:11:58.010744,GraphQL,medium,django/django,10,327.4,173,200
2025-11-22T13:11:59.683335,REST,complex,facebook/react,49,1571.63,31268,200
2025-11-22T13:12:00.676424,GraphQL,complex,python/cpython,16,892.45,1167,200
2025-11-22T13:12:01.256133,REST,simple,facebook/react,52,478.55,6156,200
2025-11-22T13:12:01.842661,REST,simple,angular/angular,94,485.69,6337,200
2025-11-22T13:12:02.424696,REST,simple,facebook/react,47,481.1,6156,200
2025-11-22T13:12:04.511129,REST,complex,tensorflow/tensorflow,90,1984.76,32060,200
2025-11-22T13:12:04.962421,GraphQL,simple,kubernetes/kubernetes,14,350.31,258,200
2025-11-22T13:12:05.591229,REST,simple,tensorflow/tensorflow,78,526.97,6689,200
2025-11-22T13:12:06.160022,GraphQL,medium,kubernetes/kubernetes,60,467.92,1814,200
2025-11-22T13:12:06.982115,GraphQL,complex,nodejs/node,100,721.56,1208,200
2025-11-22T13:12:08.727302,REST,complex,tensorflow/tensorflow,59,1643.86,32060,200
2025-11-22T13:12:09.233836,GraphQL,medium,facebook/react,37,405.76,1798,200
2025-11-22T13:12:09.776972,REST,simple,nodejs/node,63,441.68,5975,200
2025-11-22T13:12:10.236235,REST,simple,django/django,17,358.31,6147,200
2025-11-22T13:12:10.866891,REST,simple,angular/angular,34,529.58,6337,200
2025-11-22T13:12:11.652244,GraphQL,complex,nodejs/node,12,684.39,1208,200
2025-11-22T13:12:12.624583,GraphQL,complex,python/cpython,49,870.45,1167,200
2025-11-22T13:12:13.458188,GraphQL,complex,python/cpython,5,732.61,1167,200
2025-11-22T13:12:14.331887,REST,medium,torvalds/linux,77,772.1,42339,200
2025-11-22T13:12:14.802744,GraphQL,simple,nodejs/node,58,369.7,249,200
2025-11-22T13:12:15.365615,GraphQL,medium,angular/angular,95,461.09,1764,200
2025-11-22T13:12:15.970849,GraphQL,medium,kubernetes/kubernetes,62,504.4,1814,200
2025-11-22T13:12:16.808411,GraphQL,complex,tensorflow/tensorflow,19,737.05,1394,200
2025-11-22T13:12:17.223414,GraphQL,simple,torvalds/linux,39,314.41,224,200
2025-11-22T13:12:17.711244,GraphQL,medium,angular/angular,65,386.55,1764,200
2025-11-22T13:12:18.283597,GraphQL,simple,kubernetes/kubernetes,47,470.66,258,200
2025-11-22T13:12:19.969209,REST,complex,python/cpython,31,1584.3,29477,200
2025-11-22T13:12:21.213204,GraphQL,complex,torvalds/linux,6,1142.01,440,200
2025-11-22T13:12:21.720118,REST,simple,kubernetes/kubernetes,32,405.93,6538,200
2025-11-22T13:12:22.235288,REST,simple,django/django,3,414.3,6147,200
2025-11-22T13:12:22.717688,GraphQL,medium,django/django,34,381.03,173,200
